N,P,K,temperature,humidity,ph,rainfall,label
60,50,40,28.0,55.0,5.5,120.0,maize
65,48,42,27.0,58.0,5.8,125.0,maize
55,52,38,29.0,52.0,5.6,115.0,maize
62,49,41,26.5,56.0,5.7,122.0,maize
58,51,39,28.5,54.0,5.9,118.0,maize
60,50,40,28.0,55.0,5.5,120.0,maize
65,48,42,27.0,58.0,5.8,125.0,maize
55,52,38,29.0,52.0,5.6,115.0,maize
62,49,41,26.5,56.0,5.7,122.0,maize
58,51,39,28.5,54.0,5.9,118.0,maize
61,50,40,27.5,55.5,5.6,121.0,maize
59,50,41,28.2,54.8,5.55,119.0,maize
63,48,40,27.2,56.5,5.75,123.0,maize
57,51,39,28.8,53.5,5.65,117.0,maize
40,60,40,30.0,50.0,6.0,100.0,cotton
45,55,45,28.0,52.0,6.2,105.0,cotton
42,58,38,31.0,48.0,5.8,95.0,cotton
38,62,42,29.0,51.0,6.1,102.0,cotton
44,56,44,27.5,53.0,6.3,108.0,cotton
40,60,40,30.0,50.0,6.0,100.0,cotton
45,55,45,28.0,52.0,6.2,105.0,cotton
42,58,38,31.0,48.0,5.8,95.0,cotton
38,62,42,29.0,51.0,6.1,102.0,cotton
44,56,44,27.5,53.0,6.3,108.0,cotton
40,60,40,30.0,50.0,6.0,100.0,cotton
45,55,45,28.0,52.0,6.2,105.0,cotton
42,58,38,31.0,48.0,5.8,95.0,cotton
38,62,42,29.0,51.0,6.1,102.0,cotton
44,56,44,27.5,53.0,6.3,108.0,cotton
41,59,41,29.5,50.5,6.05,101.0,cotton
43,57,43,28.5,51.5,6.15,103.0,cotton
39,61,39,30.5,49.5,5.95,98.0,cotton
46,54,46,27.0,53.5,6.25,107.0,cotton
100,30,20,25.0,90.0,6.0,300.0,sugarcane
95,35,25,24.0,88.0,6.2,295.0,sugarcane
105,28,18,26.0,92.0,5.8,305.0,sugarcane
98,32,22,23.5,89.0,6.1,298.0,sugarcane
102,29,19,25.5,91.0,5.9,302.0,sugarcane
100,30,20,25.0,90.0,6.0,300.0,sugarcane
95,35,25,24.0,88.0,6.2,295.0,sugarcane
105,28,18,26.0,92.0,5.8,305.0,sugarcane
98,32,22,23.5,89.0,6.1,298.0,sugarcane
102,29,19,25.5,91.0,5.9,302.0,sugarcane
100,30,20,25.0,90.0,6.0,300.0,sugarcane
95,35,25,24.0,88.0,6.2,295.0,sugarcane
105,28,18,26.0,92.0,5.8,305.0,sugarcane
98,32,22,23.5,89.0,6.1,298.0,sugarcane
102,29,19,25.5,91.0,5.9,302.0,sugarcane
101,31,21,24.5,89.5,6.05,299.0,sugarcane
99,33,23,24.8,88.8,6.15,297.0,sugarcane
103,27,17,26.2,91.5,5.85,303.0,sugarcane
97,34,21,23.8,89.2,6.12,296.0,sugarcane
70,80,40,20.0,80.0,5.5,200.0,coffee
75,75,45,19.0,82.0,5.8,195.0,coffee
65,85,38,21.0,78.0,5.6,205.0,coffee
72,78,42,18.5,83.0,5.7,198.0,coffee
68,82,39,20.5,81.0,5.9,202.0,coffee
70,80,40,20.0,80.0,5.5,200.0,coffee
75,75,45,19.0,82.0,5.8,195.0,coffee
65,85,38,21.0,78.0,5.6,205.0,coffee
72,78,42,18.5,83.0,5.7,198.0,coffee
68,82,39,20.5,81.0,5.9,202.0,coffee
70,80,40,20.0,80.0,5.5,200.0,coffee
75,75,45,19.0,82.0,5.8,195.0,coffee
65,85,38,21.0,78.0,5.6,205.0,coffee
72,78,42,18.5,83.0,5.7,198.0,coffee
68,82,39,20.5,81.0,5.9,202.0,coffee
71,79,41,19.5,80.5,5.55,199.0,coffee
73,76,44,19.2,81.5,5.75,196.0,coffee
66,84,39,20.8,79.0,5.65,203.0,coffee
69,81,40,20.2,81.2,5.85,201.0,coffee
30,70,30,32.0,40.0,7.5,60.0,groundnuts
35,65,35,30.0,42.0,7.8,65.0,groundnuts
28,75,28,33.0,38.0,7.2,55.0,groundnuts
32,68,32,31.0,41.0,7.6,62.0,groundnuts
30,72,30,32.5,39.0,7.4,58.0,groundnuts
30,70,30,32.0,40.0,7.5,60.0,groundnuts
35,65,35,30.0,42.0,7.8,65.0,groundnuts
28,75,28,33.0,38.0,7.2,55.0,groundnuts
32,68,32,31.0,41.0,7.6,62.0,groundnuts
30,72,30,32.5,39.0,7.4,58.0,groundnuts
30,70,30,32.0,40.0,7.5,60.0,groundnuts
35,65,35,30.0,42.0,7.8,65.0,groundnuts
28,75,28,33.0,38.0,7.2,55.0,groundnuts
32,68,32,31.0,41.0,7.6,62.0,groundnuts
30,72,30,32.5,39.0,7.4,58.0,groundnuts
31,69,31,31.5,40.5,7.55,59.0,groundnuts
33,67,33,30.5,41.5,7.65,63.0,groundnuts
29,73,29,32.8,38.5,7.35,56.0,groundnuts
31,70,30,31.8,40.2,7.45,60.0,groundnuts
34,66,34,30.2,41.8,7.75,64.0,groundnuts
50,40,50,18.0,70.0,6.5,180.0,potato
55,38,48,17.0,72.0,6.8,175.0,potato
48,42,52,19.0,68.0,6.2,185.0,potato
52,39,49,16.5,73.0,6.6,178.0,potato
50,41,51,18.5,71.0,6.4,182.0,potato
50,40,50,18.0,70.0,6.5,180.0,potato
55,38,48,17.0,72.0,6.8,175.0,potato
48,42,52,19.0,68.0,6.2,185.0,potato
52,39,49,16.5,73.0,6.6,178.0,potato
50,41,51,18.5,71.0,6.4,182.0,potato
50,40,50,18.0,70.0,6.5,180.0,potato
55,38,48,17.0,72.0,6.8,175.0,potato
48,42,52,19.0,68.0,6.2,185.0,potato
52,39,49,16.5,73.0,6.6,178.0,potato
50,41,51,18.5,71.0,6.4,182.0,potato
51,40,50,17.8,70.5,6.55,179.0,potato
49,41,51,18.2,70.2,6.45,181.0,potato
54,39,49,17.2,71.5,6.75,176.0,potato
47,43,52,18.8,68.5,6.25,184.0,potato
51,40,50,18.0,70.0,6.5,180.0,potato
60,30,60,25.0,65.0,6.0,150.0,tomato
65,28,55,24.0,68.0,6.3,145.0,tomato
58,32,62,26.0,62.0,5.8,155.0,tomato
62,29,58,23.5,66.0,6.1,148.0,tomato
60,31,61,25.5,64.0,5.9,152.0,tomato
60,30,60,25.0,65.0,6.0,150.0,tomato
65,28,55,24.0,68.0,6.3,145.0,tomato
58,32,62,26.0,62.0,5.8,155.0,tomato
62,29,58,23.5,66.0,6.1,148.0,tomato
60,31,61,25.5,64.0,5.9,152.0,tomato
60,30,60,25.0,65.0,6.0,150.0,tomato
65,28,55,24.0,68.0,6.3,145.0,tomato
58,32,62,26.0,62.0,5.8,155.0,tomato
62,29,58,23.5,66.0,6.1,148.0,tomato
60,31,61,25.5,64.0,5.9,152.0,tomato
61,30,60,24.8,65.2,6.05,149.0,tomato
59,31,61,25.2,64.8,5.95,151.0,tomato
64,29,56,24.2,67.5,6.25,146.0,tomato
59,32,60,25.8,63.5,5.85,153.0,tomato
61,30,59,24.5,65.5,6.1,150.0,tomato
40,50,40,28.0,75.0,6.5,180.0,soybean
45,48,42,27.0,78.0,6.8,175.0,soybean
38,52,38,29.0,72.0,6.2,185.0,soybean
42,49,41,26.5,76.0,6.6,178.0,soybean
40,51,39,28.5,74.0,6.4,182.0,soybean
40,50,40,28.0,75.0,6.5,180.0,soybean
45,48,42,27.0,78.0,6.8,175.0,soybean
38,52,38,29.0,72.0,6.2,185.0,soybean
42,49,41,26.5,76.0,6.6,178.0,soybean
40,51,39,28.5,74.0,6.4,182.0,soybean
40,50,40,28.0,75.0,6.5,180.0,soybean
45,48,42,27.0,78.0,6.8,175.0,soybean
38,52,38,29.0,72.0,6.2,185.0,soybean
42,49,41,26.5,76.0,6.6,178.0,soybean
40,51,39,28.5,74.0,6.4,182.0,soybean
41,50,40,27.8,75.2,6.55,179.0,soybean
39,51,41,28.2,74.8,6.45,181.0,soybean
44,49,43,27.2,77.5,6.75,176.0,soybean
39,52,39,28.8,73.0,6.25,184.0,soybean
41,50,40,28.0,75.0,6.5,180.0,soybean
80,40,40,22.0,80.0,7.0,200.0,pomegranate
85,38,42,21.0,82.0,7.2,195.0,pomegranate
78,42,38,23.0,78.0,6.8,205.0,pomegranate
82,39,41,20.5,83.0,7.1,198.0,pomegranate
80,41,39,22.5,81.0,6.9,202.0,pomegranate
80,40,40,22.0,80.0,7.0,200.0,pomegranate
85,38,42,21.0,82.0,7.2,195.0,pomegranate
78,42,38,23.0,78.0,6.8,205.0,pomegranate
82,39,41,20.5,83.0,7.1,198.0,pomegranate
80,41,39,22.5,81.0,6.9,202.0,pomegranate
80,40,40,22.0,80.0,7.0,200.0,pomegranate
85,38,42,21.0,82.0,7.2,195.0,pomegranate
78,42,38,23.0,78.0,6.8,205.0,pomegranate
82,39,41,20.5,83.0,7.1,198.0,pomegranate
80,41,39,22.5,81.0,6.9,202.0,pomegranate
81,40,40,21.8,80.5,7.05,199.0,pomegranate
79,41,41,22.2,79.8,6.95,201.0,pomegranate
84,39,42,21.2,81.5,7.15,196.0,pomegranate
77,43,39,22.8,78.2,6.85,203.0,pomegranate
81,40,40,22.0,80.0,7.0,200.0,pomegranate
50,50,50,30.0,60.0,6.0,100.0,millets
55,48,52,28.0,62.0,6.3,105.0,millets
48,52,48,32.0,58.0,5.7,95.0,millets
52,49,51,29.0,61.0,6.1,102.0,millets
50,51,49,31.0,59.0,5.9,98.0,millets
50,50,50,30.0,60.0,6.0,100.0,millets
55,48,52,28.0,62.0,6.3,105.0,millets
48,52,48,32.0,58.0,5.7,95.0,millets
52,49,51,29.0,61.0,6.1,102.0,millets
50,51,49,31.0,59.0,5.9,98.0,millets
50,50,50,30.0,60.0,6.0,100.0,millets
55,48,52,28.0,62.0,6.3,105.0,millets
48,52,48,32.0,58.0,5.7,95.0,millets
52,49,51,29.0,61.0,6.1,102.0,millets
50,51,49,31.0,59.0,5.9,98.0,millets
51,50,50,30.2,60.2,6.05,100.0,millets
49,51,51,30.8,59.8,5.95,99.0,millets
54,49,52,28.5,61.5,6.25,104.0,millets
49,52,49,31.5,58.5,5.75,96.0,millets
51,50,50,30.0,60.0,6.0,100.0,millets
35,80,35,18.0,85.0,5.0,250.0,banana
40,75,40,17.0,88.0,5.2,245.0,banana
30,85,30,19.0,82.0,4.8,255.0,banana
38,78,38,16.5,86.0,5.1,248.0,banana
32,82,32,18.5,84.0,4.9,252.0,banana
35,80,35,18.0,85.0,5.0,250.0,banana
40,75,40,17.0,88.0,5.2,245.0,banana
30,85,30,19.0,82.0,4.8,255.0,banana
38,78,38,16.5,86.0,5.1,248.0,banana
32,82,32,18.5,84.0,4.9,252.0,banana
35,80,35,18.0,85.0,5.0,250.0,banana
40,75,40,17.0,88.0,5.2,245.0,banana
30,85,30,19.0,82.0,4.8,255.0,banana
38,78,38,16.5,86.0,5.1,248.0,banana
32,82,32,18.5,84.0,4.9,252.0,banana
36,79,36,17.8,85.2,5.02,249.0,banana
34,81,34,18.2,84.8,4.98,251.0,banana
39,76,39,17.2,87.2,5.18,246.0,banana
31,84,31,18.8,83.0,4.82,253.0,banana
37,78,37,17.0,85.5,5.05,250.0,banana
25,90,25,35.0,30.0,8.0,40.0,chilli
30,85,30,33.0,32.0,8.2,45.0,chilli
22,95,22,37.0,28.0,7.8,35.0,chilli
28,88,28,34.0,31.0,8.1,42.0,chilli
24,92,24,36.0,29.0,7.9,38.0,chilli
25,90,25,35.0,30.0,8.0,40.0,chilli
30,85,30,33.0,32.0,8.2,45.0,chilli
22,95,22,37.0,28.0,7.8,35.0,chilli
28,88,28,34.0,31.0,8.1,42.0,chilli
24,92,24,36.0,29.0,7.9,38.0,chilli
25,90,25,35.0,30.0,8.0,40.0,chilli
30,85,30,33.0,32.0,8.2,45.0,chilli
22,95,22,37.0,28.0,7.8,35.0,chilli
28,88,28,34.0,31.0,8.1,42.0,chilli
24,92,24,36.0,29.0,7.9,38.0,chilli
26,89,26,34.5,30.5,8.05,41.0,chilli
24,91,24,35.5,29.5,7.95,39.0,chilli
29,86,29,33.5,31.5,8.15,44.0,chilli
23,93,23,36.5,28.5,7.85,36.0,chilli
27,87,27,34.0,31.0,8.0,43.0,chilli
55,35,55,22.0,70.0,7.0,160.0,onion
60,32,50,21.0,72.0,7.3,155.0,onion
50,38,58,23.0,68.0,6.7,165.0,onion
58,34,52,20.5,73.0,7.2,158.0,onion
52,36,56,22.5,71.0,6.9,162.0,onion
55,35,55,22.0,70.0,7.0,160.0,onion
60,32,50,21.0,72.0,7.3,155.0,onion
50,38,58,23.0,68.0,6.7,165.0,onion
58,34,52,20.5,73.0,7.2,158.0,onion
52,36,56,22.5,71.0,6.9,162.0,onion
55,35,55,22.0,70.0,7.0,160.0,onion
60,32,50,21.0,72.0,7.3,155.0,onion
50,38,58,23.0,68.0,6.7,165.0,onion
58,34,52,20.5,73.0,7.2,158.0,onion
52,36,56,22.5,71.0,6.9,162.0,onion
56,35,54,21.8,70.5,7.05,159.0,onion
54,36,56,22.2,69.8,6.95,161.0,onion
59,33,51,21.2,71.5,7.25,156.0,onion
51,37,57,22.8,68.5,6.75,164.0,onion
57,34,53,21.5,71.0,7.1,160.0,onion
45,45,45,25.0,70.0,6.5,150.0,brinjal
50,42,48,24.0,72.0,6.8,145.0,brinjal
42,48,42,26.0,68.0,6.2,155.0,brinjal
48,44,46,23.5,73.0,6.6,148.0,brinjal
44,46,44,25.5,71.0,6.4,152.0,brinjal
45,45,45,25.0,70.0,6.5,150.0,brinjal
50,42,48,24.0,72.0,6.8,145.0,brinjal
42,48,42,26.0,68.0,6.2,155.0,brinjal
48,44,46,23.5,73.0,6.6,148.0,brinjal
44,46,44,25.5,71.0,6.4,152.0,brinjal
45,45,45,25.0,70.0,6.5,150.0,brinjal
50,42,48,24.0,72.0,6.8,145.0,brinjal
42,48,42,26.0,68.0,6.2,155.0,brinjal
48,44,46,23.5,73.0,6.6,148.0,brinjal
44,46,44,25.5,71.0,6.4,152.0,brinjal
46,45,45,24.8,70.5,6.55,149.0,brinjal
44,46,44,25.2,70.2,6.45,151.0,brinjal
49,43,47,24.2,71.5,6.75,146.0,brinjal
43,47,43,25.8,68.8,6.25,154.0,brinjal
47,44,46,24.5,71.0,6.6,150.0,brinjal
65,30,65,20.0,75.0,6.0,170.0,cabbage
70,28,60,19.0,77.0,6.3,165.0,cabbage
60,32,68,21.0,73.0,5.7,175.0,cabbage
68,29,62,18.5,76.0,6.2,168.0,cabbage
62,31,66,20.5,74.0,5.9,172.0,cabbage
65,30,65,20.0,75.0,6.0,170.0,cabbage
70,28,60,19.0,77.0,6.3,165.0,cabbage
60,32,68,21.0,73.0,5.7,175.0,cabbage
68,29,62,18.5,76.0,6.2,168.0,cabbage
62,31,66,20.5,74.0,5.9,172.0,cabbage
65,30,65,20.0,75.0,6.0,170.0,cabbage
70,28,60,19.0,77.0,6.3,165.0,cabbage
60,32,68,21.0,73.0,5.7,175.0,cabbage
68,29,62,18.5,76.0,6.2,168.0,cabbage
62,31,66,20.5,74.0,5.9,172.0,cabbage
66,30,64,19.8,75.2,6.05,169.0,cabbage
64,31,66,20.2,74.8,5.95,171.0,cabbage
69,29,61,19.2,76.5,6.25,166.0,cabbage
61,32,67,20.8,73.5,5.75,174.0,cabbage
67,29,63,19.5,75.5,6.1,170.0,cabbage
55,55,45,26.0,65.0,6.0,130.0,moong
60,50,50,25.0,68.0,6.3,125.0,moong
50,60,40,27.0,62.0,5.7,135.0,moong
58,52,48,24.5,66.0,6.1,128.0,moong
52,58,42,26.5,64.0,5.9,132.0,moong
55,55,45,26.0,65.0,6.0,130.0,moong
60,50,50,25.0,68.0,6.3,125.0,moong
50,60,40,27.0,62.0,5.7,135.0,moong
58,52,48,24.5,66.0,6.1,128.0,moong
52,58,42,26.5,64.0,5.9,132.0,moong
55,55,45,26.0,65.0,6.0,130.0,moong
60,50,50,25.0,68.0,6.3,125.0,moong
50,60,40,27.0,62.0,5.7,135.0,moong
58,52,48,24.5,66.0,6.1,128.0,moong
52,58,42,26.5,64.0,5.9,132.0,moong
56,54,46,25.8,65.5,6.05,129.0,moong
54,56,44,26.2,64.8,5.95,131.0,moong
59,51,49,25.2,67.5,6.25,126.0,moong
51,59,41,26.8,63.0,5.75,134.0,moong
57,53,47,25.5,65.8,6.05,130.0,moong
35,70,35,32.0,45.0,7.0,80.0,sunflower
40,65,40,30.0,48.0,7.3,85.0,sunflower
30,75,30,34.0,42.0,6.7,75.0,sunflower
38,68,38,31.0,46.0,7.1,82.0,sunflower
32,72,32,33.0,44.0,6.9,78.0,sunflower
35,70,35,32.0,45.0,7.0,80.0,sunflower
40,65,40,30.0,48.0,7.3,85.0,sunflower
30,75,30,34.0,42.0,6.7,75.0,sunflower
38,68,38,31.0,46.0,7.1,82.0,sunflower
32,72,32,33.0,44.0,6.9,78.0,sunflower
35,70,35,32.0,45.0,7.0,80.0,sunflower
40,65,40,30.0,48.0,7.3,85.0,sunflower
30,75,30,34.0,42.0,6.7,75.0,sunflower
38,68,38,31.0,46.0,7.1,82.0,sunflower
32,72,32,33.0,44.0,6.9,78.0,sunflower
36,69,36,31.5,45.5,7.05,81.0,sunflower
34,71,34,32.5,44.5,6.95,79.0,sunflower
39,66,39,30.5,47.5,7.25,84.0,sunflower
31,74,31,33.5,43.0,6.75,76.0,sunflower
37,67,37,31.0,46.0,7.1,82.0,sunflower
