N,P,K,temperature,humidity,ph,rainfall,label
48,52,52,23.5,59.0,5.7,148.0,wheat
52,56,50,24.5,61.0,5.9,152.0,wheat
60,50,40,28.0,55.0,5.5,120.0,maize
65,48,42,27.0,58.0,5.8,125.0,maize
55,52,38,29.0,52.0,5.6,115.0,maize
62,49,41,26.5,56.0,5.7,122.0,maize
58,51,39,28.5,54.0,5.9,118.0,maize
60,50,40,28.0,55.0,5.5,120.0,maize
65,48,42,27.0,58.0,5.8,125.0,maize
55,52,38,29.0,52.0,5.6,115.0,maize
62,49,41,26.5,56.0,5.7,122.0,maize
58,51,39,28.5,54.0,5.9,118.0,maize
60,50,40,28.0,55.0,5.5,120.0,maize
65,48,42,27.0,58.0,5.8,125.0,maize
55,52,38,29.0,52.0,5.6,115.0,maize
62,49,41,26.5,56.0,5.7,122.0,maize
58,51,39,28.5,54.0,5.9,118.0,maize
40,60,40,30.0,50.0,6.0,100.0,cotton
45,55,45,28.0,52.0,6.2,105.0,cotton
42,58,38,31.0,48.0,5.8,95.0,cotton
38,62,42,29.0,51.0,6.1,102.0,cotton
44,56,44,27.5,53.0,6.3,108.0,cotton
40,60,40,30.0,50.0,6.0,100.0,cotton
45,55,45,28.0,52.0,6.2,105.0,cotton
42,58,38,31.0,48.0,5.8,95.0,cotton
38,62,42,29.0,51.0,6.1,102.0,cotton
44,56,44,27.5,53.0,6.3,108.0,cotton
40,60,40,30.0,50.0,6.0,100.0,cotton
45,55,45,28.0,52.0,6.2,105.0,cotton
42,58,38,31.0,48.0,5.8,95.0,cotton
38,62,42,29.0,51.0,6.1,102.0,cotton
44,56,44,27.5,53.0,6.3,108.0,cotton
100,30,20,25.0,90.0,6.0,300.0,sugarcane
95,35,25,24.0,88.0,6.2,295.0,sugarcane
105,28,18,26.0,92.0,5.8,305.0,sugarcane
98,32,22,23.5,89.0,6.1,298.0,sugarcane
102,29,19,25.5,91.0,5.9,302.0,sugarcane
100,30,20,25.0,90.0,6.0,300.0,sugarcane
95,35,25,24.0,88.0,6.2,295.0,sugarcane
105,28,18,26.0,92.0,5.8,305.0,sugarcane
98,32,22,23.5,89.0,6.1,298.0,sugarcane
102,29,19,25.5,91.0,5.9,302.0,sugarcane
100,30,20,25.0,90.0,6.0,300.0,sugarcane
95,35,25,24.0,88.0,6.2,295.0,sugarcane
105,28,18,26.0,92.0,5.8,305.0,sugarcane
98,32,22,23.5,89.0,6.1,298.0,sugarcane
102,29,19,25.5,91.0,5.9,302.0,sugarcane
70,80,40,20.0,80.0,5.5,200.0,coffee
75,75,45,19.0,82.0,5.8,195.0,coffee
65,85,38,21.0,78.0,5.6,205.0,coffee
72,78,42,18.5,83.0,5.7,198.0,coffee
68,82,39,20.5,81.0,5.9,202.0,coffee
70,80,40,20.0,80.0,5.5,200.0,coffee
75,75,45,19.0,82.0,5.8,195.0,coffee
65,85,38,21.0,78.0,5.6,205.0,coffee
72,78,42,18.5,83.0,5.7,198.0,coffee
68,82,39,20.5,81.0,5.9,202.0,coffee
70,80,40,20.0,80.0,5.5,200.0,coffee
75,75,45,19.0,82.0,5.8,195.0,coffee
65,85,38,21.0,78.0,5.6,205.0,coffee
72,78,42,18.5,83.0,5.7,198.0,coffee
68,82,39,20.5,81.0,5.9,202.0,coffee
30,70,30,32.0,40.0,7.5,60.0,groundnuts
35,65,35,30.0,42.0,7.8,65.0,groundnuts
28,75,28,33.0,38.0,7.2,55.0,groundnuts
32,68,32,31.0,41.0,7.6,62.0,groundnuts
30,72,30,32.5,39.0,7.4,58.0,groundnuts
30,70,30,32.0,40.0,7.5,60.0,groundnuts
35,65,35,30.0,42.0,7.8,65.0,groundnuts
28,75,28,33.0,38.0,7.2,55.0,groundnuts
32,68,32,31.0,41.0,7.6,62.0,groundnuts
30,72,30,32.5,39.0,7.4,58.0,groundnuts
30,70,30,32.0,40.0,7.5,60.0,groundnuts
35,65,35,30.0,42.0,7.8,65.0,groundnuts
28,75,28,33.0,38.0,7.2,55.0,groundnuts
32,68,32,31.0,41.0,7.6,62.0,groundnuts
30,72,30,32.5,39.0,7.4,58.0,groundnuts
50,40,50,18.0,70.0,6.5,180.0,potato
55,38,48,17.0,72.0,6.8,175.0,potato
48,42,52,19.0,68.0,6.2,185.0,potato
52,39,49,16.5,73.0,6.6,178.0,potato
50,41,51,18.5,71.0,6.4,182.0,potato
50,40,50,18.0,70.0,6.5,180.0,potato
55,38,48,17.0,72.0,6.8,175.0,potato
48,42,52,19.0,68.0,6.2,185.0,potato
52,39,49,16.5,73.0,6.6,178.0,potato
50,41,51,18.5,71.0,6.4,182.0,potato
50,40,50,18.0,70.0,6.5,180.0,potato
55,38,48,17.0,72.0,6.8,175.0,potato
48,42,52,19.0,68.0,6.2,185.0,potato
52,39,49,16.5,73.0,6.6,178.0,potato
50,41,51,18.5,71.0,6.4,182.0,potato
60,30,60,25.0,65.0,6.0,150.0,tomato
65,28,55,24.0,68.0,6.3,145.0,tomato
58,32,62,26.0,62.0,5.8,155.0,tomato
62,29,58,23.5,66.0,6.1,148.0,tomato
60,31,61,25.5,64.0,5.9,152.0,tomato
60,30,60,25.0,65.0,6.0,150.0,tomato
65,28,55,24.0,68.0,6.3,145.0,tomato
58,32,62,26.0,62.0,5.8,155.0,tomato
62,29,58,23.5,66.0,6.1,148.0,tomato
60,31,61,25.5,64.0,5.9,152.0,tomato
60,30,60,25.0,65.0,6.0,150.0,tomato
65,28,55,24.0,68.0,6.3,145.0,tomato
58,32,62,26.0,62.0,5.8,155.0,tomato
62,29,58,23.5,66.0,6.1,148.0,tomato
60,31,61,25.5,64.0,5.9,152.0,tomato
40,50,40,28.0,75.0,6.5,180.0,soybean
45,48,42,27.0,78.0,6.8,175.0,soybean
38,52,38,29.0,72.0,6.2,185.0,soybean
42,49,41,26.5,76.0,6.6,178.0,soybean
40,51,39,28.5,74.0,6.4,182.0,soybean
40,50,40,28.0,75.0,6.5,180.0,soybean
45,48,42,27.0,78.0,6.8,175.0,soybean
38,52,38,29.0,72.0,6.2,185.0,soybean
42,49,41,26.5,76.0,6.6,178.0,soybean
40,51,39,28.5,74.0,6.4,182.0,soybean
40,50,40,28.0,75.0,6.5,180.0,soybean
45,48,42,27.0,78.0,6.8,175.0,soybean
38,52,38,29.0,72.0,6.2,185.0,soybean
42,49,41,26.5,76.0,6.6,178.0,soybean
40,51,39,28.5,74.0,6.4,182.0,soybean
80,40,40,22.0,80.0,7.0,200.0,pomegranate
85,38,42,21.0,82.0,7.2,195.0,pomegranate
78,42,38,23.0,78.0,6.8,205.0,pomegranate
82,39,41,20.5,83.0,7.1,198.0,pomegranate
80,41,39,22.5,81.0,6.9,202.0,pomegranate
80,40,40,22.0,80.0,7.0,200.0,pomegranate
85,38,42,21.0,82.0,7.2,195.0,pomegranate
78,42,38,23.0,78.0,6.8,205.0,pomegranate
82,39,41,20.5,83.0,7.1,198.0,pomegranate
80,41,39,22.5,81.0,6.9,202.0,pomegranate
80,40,40,22.0,80.0,7.0,200.0,pomegranate
85,38,42,21.0,82.0,7.2,195.0,pomegranate
78,42,38,23.0,78.0,6.8,205.0,pomegranate
82,39,41,20.5,83.0,7.1,198.0,pomegranate
80,41,39,22.5,81.0,6.9,202.0,pomegranate
50,50,50,30.0,60.0,6.0,100.0,millets
55,48,52,28.0,62.0,6.3,105.0,millets
48,52,48,32.0,58.0,5.7,95.0,millets
52,49,51,29.0,61.0,6.1,102.0,millets
50,51,49,31.0,59.0,5.9,98.0,millets
50,50,50,30.0,60.0,6.0,100.0,millets
55,48,52,28.0,62.0,6.3,105.0,millets
48,52,48,32.0,58.0,5.7,95.0,millets
52,49,51,29.0,61.0,6.1,102.0,millets
50,51,49,31.0,59.0,5.9,98.0,millets
50,50,50,30.0,60.0,6.0,100.0,millets
55,48,52,28.0,62.0,6.3,105.0,millets
48,52,48,32.0,58.0,5.7,95.0,millets
52,49,51,29.0,61.0,6.1,102.0,millets
50,51,49,31.0,59.0,5.9,98.0,millets
